,Unnamed: 0,Unnamed: 0.1,index,season,team,description,situation,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
406,6,1,FromCorner,2018,Bournemouth,Bournemouth xG stats for the 2018/2019 season ,FromCorner,51,5,5.470014397054911,46.0,3.0,4.939247048459947,0.5307673485949636,0.10725518425597863,0.1073749358360858,73
407,7,2,OpenPlay,2018,Bournemouth,Bournemouth xG stats for the 2018/2019 season ,OpenPlay,210,22,23.274564930237823,254.0,37.0,33.15752586722374,-9.88296093698591,0.1108312615725611,0.13054144042214072,73
408,8,3,Penalty,2018,Bournemouth,Bournemouth xG stats for the 2018/2019 season ,Penalty,6,5,4.5670130252838135,3.0,3.0,2.2834323048591614,2.283580720424652,0.7611688375473022,0.7611441016197205,73
409,9,4,SetPiece,2018,Bournemouth,Bournemouth xG stats for the 2018/2019 season ,SetPiece,23,5,3.6180077567696567,15.0,1.0,1.7375298477709291,1.880477908998728,0.15730468507694162,0.11583532318472865,73
410,10,0,DirectFreekick,2018,Southampton,Southampton xG stats for the 2018/2019 season ,DirectFreekick,13,1,0.6888417899608612,9.0,0.0,0.6102179437875748,0.07862384617328644,0.052987829996989325,0.06780199375417498,74
411,11,1,FromCorner,2018,Southampton,Southampton xG stats for the 2018/2019 season ,FromCorner,56,2,4.896925170905887,56.0,4.0,5.62434852682054,-0.7274233559146523,0.08744509233760514,0.10043479512179536,74
412,12,2,OpenPlay,2018,Southampton,Southampton xG stats for the 2018/2019 season ,OpenPlay,240,20,22.84687882568687,256.0,32.0,30.517740100156523,-7.670861274469644,0.09519532844036196,0.1192099222662364,74
413,13,3,Penalty,2018,Southampton,Southampton xG stats for the 2018/2019 season ,Penalty,5,4,3.8058441877365112,2.0,2.0,1.5223376750946045,2.2835065126419067,0.7611688375473022,0.7611688375473022,74
414,14,4,SetPiece,2018,Southampton,Southampton xG stats for the 2018/2019 season ,SetPiece,15,0,0.8804684346541762,25.0,4.0,4.13102691154927,-3.250558476895094,0.05869789564361175,0.1652410764619708,74
415,15,0,DirectFreekick,2018,Leicester,Leicester xG stats for the 2018/2019 season ,DirectFreekick,12,1,0.7080260589718819,15.0,0.0,0.8814575672149658,-0.17343150824308395,0.059002171580990165,0.05876383781433105,75
