,Unnamed: 0,Unnamed: 0.1,description,formation,goalsA,goalsF,index,season,shotsA,shotsF,statF,team,timeF,xGA,xGA90,xGD,xGF,xGF90,team_id
43,43,8,West Bromwich Albion xG stats for the 2014/2015 season ,5-4-1,0.0,0,5-4-1,2014,3.0,0,5-4-1,West_Bromwich_Albion,13,0.5151174403727055,3.5661976641187305,-0.5151174403727055,0.0,0.0,76
44,44,0,Sunderland xG stats for the 2014/2015 season ,3-4-1-2,2.0,1,3-4-1-2,2014,27.0,8,3-4-1-2,Sunderland,94,1.9321942329406736,1.8499732017517088,-0.7307399762794375,1.2014542566612365,1.1503285436118218,77
45,45,1,Sunderland xG stats for the 2014/2015 season ,4-1-3-2,3.0,1,4-1-3-2,2014,23.0,20,4-1-3-2,Sunderland,165,2.424211822450161,1.3222973577000878,-0.7490425640717149,1.675169258378446,0.9137286863882432,77
46,46,2,Sunderland xG stats for the 2014/2015 season ,4-1-4-1,27.0,18,4-1-4-1,2014,304.0,176,4-1-4-1,Sunderland,1736,28.450603947043422,1.4749737069319746,-10.950173960067332,17.500429986976087,0.9072803564676544,77
47,47,3,Sunderland xG stats for the 2014/2015 season ,4-2-3-1,7.0,3,4-2-3-1,2014,69.0,50,4-2-3-1,Sunderland,348,6.563155493699014,1.6973678000945729,-2.417531202547252,4.145624291151762,1.072144213228904,77
48,48,4,Sunderland xG stats for the 2014/2015 season ,4-3-3,12.0,5,4-3-3,2014,175.0,129,4-3-3,Sunderland,976,14.633634652942419,1.3494130315213295,-3.2204466201364994,11.41318803280592,1.0524456177792345,77
49,49,5,Sunderland xG stats for the 2014/2015 season ,4-4-1-1,1.0,1,4-4-1-1,2014,21.0,17,4-4-1-1,Sunderland,187,1.9715973623096943,0.9488971262453072,-1.1284894412383435,0.8431079210713506,0.40577386575626495,77
50,50,6,Sunderland xG stats for the 2014/2015 season ,4-4-2,1.0,2,4-4-2,2014,12.0,9,4-4-2,Sunderland,63,0.6044376334175467,0.8634823334536382,1.2398987272754312,1.844336360692978,2.6347662295613974,77
51,51,0,Crystal Palace xG stats for the 2014/2015 season ,3-1-4-2,1.0,0,3-1-4-2,2014,5.0,3,3-1-4-2,Crystal_Palace,19,0.29544124752283096,1.3994585408976203,-0.0960012674331665,0.1994399800896645,0.9447156951615684,78
52,52,1,Crystal Palace xG stats for the 2014/2015 season ,3-4-2-1,1.0,0,3-4-2-1,2014,1.0,2,3-4-2-1,Crystal_Palace,7,0.404512107372284,5.2008699519293655,-0.3156585991382599,0.08885350823402405,1.1424022487231662,78
53,53,2,Crystal Palace xG stats for the 2014/2015 season ,4-1-2-1-2,0.0,0,4-1-2-1-2,2014,0.0,4,4-1-2-1-2,Crystal_Palace,14,0.0,0.0,0.6402350552380085,0.6402350552380085,4.115796783672912,78
54,54,3,Crystal Palace xG stats for the 2014/2015 season ,4-1-4-1,9.0,10,4-1-4-1,2014,117.0,95,4-1-4-1,Crystal_Palace,760,10.289731885306537,1.2185208811547217,-0.5227982285432518,9.766933656763284,1.1566105646167049,78
55,55,4,Crystal Palace xG stats for the 2014/2015 season ,4-2-3-1,4.0,6,4-2-3-1,2014,64.0,39,4-2-3-1,Crystal_Palace,355,6.901124620810151,1.7495808897828549,-2.086812169291079,4.814312451519072,1.2205299172865252,78
56,56,5,Crystal Palace xG stats for the 2014/2015 season ,4-3-3,11.0,12,4-3-3,2014,111.0,127,4-3-3,Crystal_Palace,922,9.744055941700935,0.9511551353070328,2.6381685631349683,12.382224504835904,1.2086770124026371,78
57,57,6,Crystal Palace xG stats for the 2014/2015 season ,4-4-1-1,20.0,13,4-4-1-1,2014,174.0,130,4-4-1-1,Crystal_Palace,1192,15.046554231084885,1.1360653362396305,-1.5447262893430889,13.501827941741796,1.019433317748961,78
58,58,7,Crystal Palace xG stats for the 2014/2015 season ,4-4-2,5.0,6,4-4-2,2014,49.0,41,4-4-2,Crystal_Palace,290,3.895259969867766,1.2088737837520651,1.5642973175272346,5.4595572873950005,1.6943453650536209,78
59,59,8,Crystal Palace xG stats for the 2014/2015 season ,4-5-1,0.0,0,4-5-1,2014,5.0,2,4-5-1,Crystal_Palace,13,0.14334617089480162,0.992396567733242,0.0014976086094975474,0.14484377950429916,1.0027646273374555,78
60,60,0,Chelsea xG stats for the 2014/2015 season ,3-5-2,0.0,0,3-5-2,2014,1.0,0,3-5-2,Chelsea,6,0.08171877264976501,1.2257815897464752,-0.08171877264976501,0.0,0.0,80
61,61,1,Chelsea xG stats for the 2014/2015 season ,4-2-3-1,31.0,69,4-2-3-1,2014,404.0,537,4-2-3-1,Chelsea,3435,31.675337036605924,0.8299214944088888,36.578761966433376,68.25409900303929,1.7883170044464447,80
62,62,2,Chelsea xG stats for the 2014/2015 season ,4-3-3,1.0,3,4-3-3,2014,8.0,22,4-3-3,Chelsea,87,0.8528219647705555,0.8822296187281609,1.7230044472962618,2.5758264120668173,2.6646480124829144,80
63,63,3,Chelsea xG stats for the 2014/2015 season ,4-4-2,0.0,1,4-4-2,2014,4.0,6,4-4-2,Chelsea,39,0.1972589697688818,0.45521300715895796,0.8841305077075958,1.0813894774764776,2.4955141787918715,80
64,64,0,West Ham xG stats for the 2014/2015 season ,3-4-1-2,0.0,0,3-4-1-2,2014,1.0,1,3-4-1-2,West_Ham,3,0.043678462505340576,1.3103538751602173,-0.0287613058462739,0.014917156659066675,0.4475146997720003,81
65,65,1,West Ham xG stats for the 2014/2015 season ,4-1-2-1-2,15.0,20,4-1-2-1-2,2014,217.0,211,4-1-2-1-2,West_Ham,1378,20.064787359908227,1.3104723239417562,0.5395010355859995,20.604288395494226,1.3457082406346008,81
66,66,2,West Ham xG stats for the 2014/2015 season ,4-2-3-1,17.0,13,4-2-3-1,2014,150.0,161,4-2-3-1,West_Ham,1106,13.942808910738675,1.1345866202228578,2.106055479031056,16.048864389769733,1.3059654566720398,81
67,67,3,West Ham xG stats for the 2014/2015 season ,4-3-1-2,0.0,2,4-3-1-2,2014,10.0,10,4-3-1-2,West_Ham,93,0.6599833518266678,0.6386935662838721,0.7913615833967924,1.4513449352234602,1.4045273566678649,81
68,68,4,West Ham xG stats for the 2014/2015 season ,4-3-2-1,2.0,1,4-3-2-1,2014,20.0,17,4-3-2-1,West_Ham,123,3.2291698195040226,2.362807185002944,-1.1912281578406692,2.037941661663353,1.4911768256073317,81
69,69,5,West Ham xG stats for the 2014/2015 season ,4-3-3,9.0,5,4-3-3,2014,117.0,49,4-3-3,West_Ham,500,13.415326287038624,2.4147587316669523,-9.19731737719849,4.218008909840137,0.7592416037712246,81
70,70,6,West Ham xG stats for the 2014/2015 season ,4-4-1-1,1.0,1,4-4-1-1,2014,33.0,17,4-4-1-1,West_Ham,161,4.132720487192273,2.310216421411829,-2.5115255545824766,1.6211949326097963,0.9062580368626192,81
71,71,7,West Ham xG stats for the 2014/2015 season ,4-4-2,0.0,0,4-4-2,2014,2.0,1,4-4-2,West_Ham,12,0.16101139038801193,1.2075854279100895,-0.1486412649974227,0.012370125390589235,0.09277594042941928,81
72,72,8,West Ham xG stats for the 2014/2015 season ,4-5-1,0.0,0,4-5-1,2014,2.0,1,4-5-1,West_Ham,10,0.028614318929612637,0.2575288703665137,0.12207498494535685,0.15068930387496948,1.3562037348747251,81
73,73,9,West Ham xG stats for the 2014/2015 season ,5-3-2,1.0,1,5-3-2,2014,22.0,15,5-3-2,West_Ham,133,1.9563494781032205,1.3238455114984198,-0.6589179104194045,1.297431567683816,0.8779612112146122,81
74,74,10,West Ham xG stats for the 2014/2015 season ,5-4-1,2.0,1,5-4-1,2014,16.0,7,5-4-1,West_Ham,63,3.098982986062765,4.4271185515182365,-2.6105563901364803,0.4884265959262848,0.6977522798946926,81
75,75,0,Tottenham xG stats for the 2014/2015 season ,4-2-3-1,49.0,53,4-2-3-1,2014,452.0,471,4-2-3-1,Tottenham,3171,54.586981928441666,1.5492993924817882,-5.475548497866839,49.11143343057483,1.393891204273647,82
76,76,1,Tottenham xG stats for the 2014/2015 season ,4-3-3,0.0,0,4-3-3,2014,0.0,1,4-3-3,Tottenham,9,0.0,0.0,0.07448021322488785,0.07448021322488785,0.7448021322488785,82
77,77,2,Tottenham xG stats for the 2014/2015 season ,4-4-2,4.0,5,4-4-2,2014,40.0,57,4-4-2,Tottenham,395,5.394927051849663,1.2292238852315691,0.5673449696041644,5.962272021453828,1.3584923593185936,82
78,78,0,Arsenal xG stats for the 2014/2015 season ,3-5-1-1,0.0,0,3-5-1-1,2014,5.0,0,3-5-1-1,Arsenal,10,0.1689045736566186,1.5201411629095674,-0.1689045736566186,0.0,0.0,83
79,79,1,Arsenal xG stats for the 2014/2015 season ,4-1-2-1-2,0.0,0,4-1-2-1-2,2014,0.0,1,4-1-2-1-2,Arsenal,1,0.0,0.0,0.11051398515701294,0.11051398515701294,9.946258664131165,83
80,80,2,Arsenal xG stats for the 2014/2015 season ,4-1-4-1,11.0,10,4-1-4-1,2014,60.0,119,4-1-4-1,Arsenal,715,7.663681503385304,0.9646592102163322,3.4198497347533703,11.083531238138676,1.3951298061992738,83
81,81,3,Arsenal xG stats for the 2014/2015 season ,4-2-3-1,19.0,53,4-2-3-1,2014,260.0,435,4-2-3-1,Arsenal,2403,23.392833690624684,0.8761360932818234,31.963385483715683,55.35621917434036,2.0732666357430847,83
82,82,4,Arsenal xG stats for the 2014/2015 season ,4-3-3,5.0,8,4-3-3,2014,74.0,56,4-3-3,Arsenal,418,3.7501744478940964,0.8074538284939441,3.042818084359169,6.7929925322532645,1.4626060476143392,83
83,83,5,Arsenal xG stats for the 2014/2015 season ,4-4-2,0.0,0,4-4-2,2014,0.0,1,4-4-2,Arsenal,3,0.0,0.0,0.0450790673494339,0.0450790673494339,1.352372020483017,83
84,84,6,Arsenal xG stats for the 2014/2015 season ,5-4-1,1.0,0,5-4-1,2014,8.0,0,5-4-1,Arsenal,21,2.0192180890589952,8.653791810252837,-2.0192180890589952,0.0,0.0,83
85,85,0,Swansea xG stats for the 2014/2015 season ,4-1-2-1-2,5.0,3,4-1-2-1-2,2014,53.0,42,4-1-2-1-2,Swansea,398,4.631306226365269,1.0472803024444073,-0.963002746924758,3.6683034794405103,0.8295158621850399,84
86,86,1,Swansea xG stats for the 2014/2015 season ,4-2-2-2,0.0,1,4-2-2-2,2014,6.0,7,4-2-2-2,Swansea,22,1.6730848848819733,6.844438165426254,-0.5360970720648766,1.1369878128170967,4.651313779706305,84
87,87,2,Swansea xG stats for the 2014/2015 season ,4-2-3-1,40.0,37,4-2-3-1,2014,429.0,341,4-2-3-1,Swansea,2815,44.969889802858226,1.4377584661659826,-9.873700217809526,35.096189585048705,1.122080661688946,84
88,88,3,Swansea xG stats for the 2014/2015 season ,4-3-1-2,1.0,0,4-3-1-2,2014,4.0,4,4-3-1-2,Swansea,18,0.9859769232571124,4.9298846162855625,-0.8122018277645111,0.1737750954926014,0.8688754774630071,84
89,89,4,Swansea xG stats for the 2014/2015 season ,4-3-3,3.0,5,4-3-3,2014,59.0,33,4-3-3,Swansea,308,5.145278735086323,1.5034905394732758,-1.0514204683713615,4.09385826671496,1.1962572857283975,84
90,90,5,Swansea xG stats for the 2014/2015 season ,4-4-2,0.0,0,4-4-2,2014,4.0,2,4-4-2,Swansea,12,0.28538791835308075,2.1404093876481056,0.08153803646564484,0.3669259548187256,2.751944661140442,84
91,91,0,Stoke xG stats for the 2014/2015 season ,4-1-4-1,0.0,0,4-1-4-1,2014,5.0,1,4-1-4-1,Stoke,26,0.18670640978962186,0.6462914185025371,-0.14228007290512326,0.0444263368844986,0.1537834738309567,85
92,92,1,Stoke xG stats for the 2014/2015 season ,4-2-3-1,41.0,42,4-2-3-1,2014,410.0,465,4-2-3-1,Stoke,3196,42.40057918615639,1.1940088006114131,2.8837799648754303,45.284359151031815,1.275216621900145,85
93,93,2,Stoke xG stats for the 2014/2015 season ,4-3-3,1.0,2,4-3-3,2014,3.0,11,4-3-3,Stoke,95,0.2340044863522053,0.2216884607547208,0.8855412760749459,1.1195457624271512,1.0606223012467748,85
94,94,3,Stoke xG stats for the 2014/2015 season ,4-4-1-1,0.0,1,4-4-1-1,2014,11.0,6,4-4-1-1,Stoke,68,0.7087862081825733,0.9380993931828177,-0.4534207070246339,0.25536550115793943,0.3379837515325669,85
95,95,4,Stoke xG stats for the 2014/2015 season ,4-4-2,3.0,3,4-4-2,2014,26.0,20,4-4-2,Stoke,195,4.8605865724384785,2.2433476488177595,-3.1236520553939044,1.736934517044574,0.8016620847898035,85
96,96,0,Newcastle United xG stats for the 2014/2015 season ,3-4-1-2,1.0,0,3-4-1-2,2014,2.0,2,3-4-1-2,Newcastle_United,17,0.4841941520571709,2.563380805008552,-0.452815611846745,0.03137854021042585,0.1661216834669604,86
97,97,1,Newcastle United xG stats for the 2014/2015 season ,3-4-3,1.0,1,3-4-3,2014,3.0,2,3-4-3,Newcastle_United,20,0.16507554799318316,0.7428399659693241,0.712484709918499,0.8775602579116821,3.9490211606025696,86
98,98,2,Newcastle United xG stats for the 2014/2015 season ,4-1-2-1-2,2.0,0,4-1-2-1-2,2014,6.0,3,4-1-2-1-2,Newcastle_United,47,1.3158540949225426,2.5197206072984857,-1.217642828822136,0.09821126610040663,0.1880641265752468,86
99,99,3,Newcastle United xG stats for the 2014/2015 season ,4-1-4-1,1.0,0,4-1-4-1,2014,10.0,7,4-1-4-1,Newcastle_United,65,1.0559978634119034,1.4621508878010971,-0.4260891657322645,0.6299086976796389,0.8721812737102692,86
100,100,4,Newcastle United xG stats for the 2014/2015 season ,4-2-2-2,1.0,0,4-2-2-2,2014,3.0,2,4-2-2-2,Newcastle_United,18,0.7955588512122631,3.977794256061316,-0.7615795508027077,0.033979300409555435,0.16989650204777718,86
101,101,5,Newcastle United xG stats for the 2014/2015 season ,4-2-3-1,45.0,32,4-2-3-1,2014,317.0,366,4-2-3-1,Newcastle_United,2698,35.76790719665587,1.1931473861004551,-5.0342104635201395,30.73369673313573,1.0252159770134233,86
102,102,6,Newcastle United xG stats for the 2014/2015 season ,4-3-1-2,3.0,1,4-3-1-2,2014,20.0,16,4-3-1-2,Newcastle_United,109,4.054742822423576,3.3479527891570826,-3.1642987709492445,0.8904440514743328,0.7352290333274308,86
103,103,7,Newcastle United xG stats for the 2014/2015 season ,4-3-3,6.0,2,4-3-3,2014,38.0,27,4-3-3,Newcastle_United,249,3.946690067648888,1.4265144822827305,-1.0432044817134738,2.903485585935414,1.0494526214224391,86
104,104,8,Newcastle United xG stats for the 2014/2015 season ,4-4-2,1.0,3,4-4-2,2014,40.0,39,4-4-2,Newcastle_United,280,3.8012175811454667,1.2218199367967566,0.3872157363221049,4.188433317467569,1.3462821377574332,86
105,105,9,Newcastle United xG stats for the 2014/2015 season ,4-5-1,2.0,1,4-5-1,2014,8.0,4,4-5-1,Newcastle_United,70,1.0908298417925837,1.4024955108761787,-0.768741937354207,0.3220879044383764,0.41411301999219824,86
106,106,0,Liverpool xG stats for the 2014/2015 season ,3-4-1-2,1.0,1,3-4-1-2,2014,9.0,13,3-4-1-2,Liverpool,84,0.4831439908593893,0.5176542759207743,0.4226459488272667,0.905789939686656,0.9704892210928456,87
107,107,1,Liverpool xG stats for the 2014/2015 season ,3-4-2-1,5.0,6,3-4-2-1,2014,40.0,49,3-4-2-1,Liverpool,325,3.669508381746709,1.0161715518683194,1.8490090928971767,5.518517474643887,1.528204839132153,87
108,108,2,Liverpool xG stats for the 2014/2015 season ,3-4-3,12.0,19,3-4-3,2014,120.0,196,3-4-3,Liverpool,1117,9.378620017319918,0.7556632064089459,9.507450454868378,18.886070472188294,1.521706662933703,87
109,109,3,Liverpool xG stats for the 2014/2015 season ,3-5-1-1,1.0,0,3-5-1-1,2014,16.0,9,3-5-1-1,Liverpool,102,1.6441251588985324,1.4506986696163522,-0.3343499852344394,1.309775173664093,1.155683976762435,87
110,110,4,Liverpool xG stats for the 2014/2015 season ,3-5-2,2.0,2,3-5-2,2014,16.0,22,3-5-2,Liverpool,118,1.9296812312677505,1.471790769610996,-0.12296582758426665,1.8067154036834843,1.3780032739958774,87
111,111,5,Liverpool xG stats for the 2014/2015 season ,4-1-2-1-2,3.0,3,4-1-2-1-2,2014,18.0,28,4-1-2-1-2,Liverpool,185,2.1521691689267755,1.0470012173157286,0.6376769850030541,2.7898461539298296,1.3572224532631605,87
112,112,6,Liverpool xG stats for the 2014/2015 season ,4-2-3-1,6.0,10,4-2-3-1,2014,97.0,140,4-2-3-1,Liverpool,781,9.806168022565542,1.1300321664928283,1.6465964261442425,11.452764448709786,1.3197807943455575,87
113,113,7,Liverpool xG stats for the 2014/2015 season ,4-3-3,18.0,11,4-3-3,2014,99.0,136,4-3-3,Liverpool,835,12.247066227719188,1.3200430664607508,1.2078974656760693,13.454963693395257,1.450235607671345,87
114,114,8,Liverpool xG stats for the 2014/2015 season ,4-4-2,0.0,0,4-4-2,2014,2.0,1,4-4-2,Liverpool,22,0.15304916352033615,0.6261102144013752,-0.08154840022325516,0.071500763297081,0.2925031225789677,87
